gene\_name & dN & dS & omega \\
B657\_RS21400 & 0.0281333333333333 & 0.477866666666667 & 0.0555866666666667 \\
B657\_RS21425 & 0.0344 & 0.3423 & 0.10047 \\
B657\_RS21430 & 0.0968 & 0.681025 & 0.1450925 \\
B657\_RS21435 & 0.0261 & 0.5505 & 0.04733 \\
B657\_RS21500 & 0.0675 & 0.3196 & 0.21136 \\
B657\_RS21505 & 0.0564 & 0.3781 & 0.14909 \\
B657\_RS21515 & 0.0521 & 0.3195 & 0.16927 \\
B657\_RS21520 & 0.032 & 0.2436 & 0.13153 \\
B657\_RS21525 & 0.0299 & 0.4727 & 0.0632 \\
B657\_RS21535 & 0.0376 & 0.2516 & 0.14955 \\
B657\_RS21540 & 0.01345 & 0.27785 & 0.04872 \\
B657\_RS21560 & 0.0255 & 0.3486 & 0.07316 \\
B657\_RS21565 & 0.0149 & 0.4145 & 0.03601 \\
B657\_RS21570 & 0.0782 & 0.0929 & 0.84181 \\
B657\_RS21595 & 0.0114 & 0.23595 & 0.059915 \\
B657\_RS21645 & 0.0085 & 0.4087 & 0.02079 \\
B657\_RS21680 & 0.04215 & 0.29595 & 0.17832 \\
B657\_RS21695 & 0.11115 & 0.3988 & 0.280295 \\
B657\_RS21705 & 0.0521 & 0.469533333333333 & 0.119153333333333 \\
B657\_RS21710 & 0.0217 & 0.2773 & 0.07838 \\
B657\_RS21715 & 0.0168 & 0.33565 & 0.06229 \\
B657\_RS21720 & 0.0183 & 0.4063 & 0.045 \\
B657\_RS21725 & 0.0117 & 0.3116 & 0.03767 \\
BSBS38\_RS02685 & 0.0102 & 0.2813 & 0.03621 \\
BSBS38\_RS03245 & 0.0156 & 0.2732 & 0.05725 \\
BSBS38\_RS06355 & 0.0655 & 0.4395 & 0.14896 \\
BSBS38\_RS06455 & 0.0208 & 0.2823 & 0.07384 \\
BSBS38\_RS15175 & 0.0232 & 0.334 & 0.06933 \\
BSBS38\_RS16465 & 0.0984 & 0.6294 & 0.15634 \\
BSU17360 & 0.0113 & 0.1186 & 0.09556 \\
BSU39360 & 0.0131 & 0.3506 & 0.03726 \\
BSU39400 & 0.0078 & 0.3429 & 0.02289 \\
BSU39440 & 0.1182 & 0.6529 & 0.18111 \\
BSU39490 & 0.0147 & 0.3225 & 0.04556 \\
BSU39520 & 0.0191 & 0.4154 & 0.04604 \\
BSU39590 & 0.0195 & 0.2517 & 0.07742 \\
BSU39640 & 0.018 & 0.3285 & 0.05483 \\
BSU39690 & 0.0077 & 0.391 & 0.0196 \\
BSU39720 & 0.0207 & 0.218 & 0.09477 \\
BSU39780 & 0.01 & 0.3334 & 0.02986 \\
BSU39820 & 0.0062 & 0.4048 & 0.01538 \\
BSU39990 & 0.0251 & 0.1301 & 0.19324 \\
BSU40010 & 0.0119 & 0.2958 & 0.0401 \\
BSU40050 & 0.0232 & 0.2561 & 0.09077 \\
BSU40070 & 0.0102 & 0.3165 & 0.0323 \\
BSU40080 & 0.0118 & 0.2658 & 0.04439 \\
BSU40350 & 0.01415 & 0.49265 & 0.02951 \\
BSU40360 & 0.02395 & 0.1868 & 0.252125 \\
BSU40370 & 0.0052 & 0.3574 & 0.01462 \\
BSU40380 & 0.0261 & 0.2297 & 0.11365 \\
BSU40390 & 0.0288666666666667 & 0.2943 & 0.102013333333333 \\
BSU40400 & 0.0038 & 0.2875 & 0.01305 \\
BSU40410 & 0 & 0.1751 & 0 \\
BSU40420 & 0.0068 & 0.1875 & 0.03609 \\
BSU40430 & 0.05395 & 0.3554 & 0.158905 \\
BSU40440 & 0.002 & 0.2769 & 0.00738 \\
BSU40450 & 0.0613 & 0.3172 & 0.19327 \\
BSU40460 & 0.0588 & 0.2333 & 0.25189 \\
BSU40480 & 0.03285 & 0.2685 & 0.122285 \\
BSU40490 & 0.06445 & 0.3292 & 0.1925975 \\
BSU40500 & 0.0064 & 0.2458 & 0.02605 \\
BSU40510 & 0.0042 & 0.2016 & 0.02105 \\
BSU40540 & 0.0285 & 0.2957 & 0.0965 \\
BSU40550 & 0.0091 & 0.2335 & 0.0389 \\
BSU40560 & 0.0425 & 0.3309 & 0.1283 \\
BSU40570 & 0.0089 & 0.3689 & 0.024 \\
BSU40630 & 0.0433 & 0.4511 & 0.10148 \\
BSU40710 & 0.0171 & 0.4546 & 0.03765 \\
BSU40720 & 0.0944 & 0.5156 & 0.18313 \\
BSU40730 & 0.0787 & 0.3792 & 0.20751 \\
BSU40820 & 0.03225 & 0.560125 & 0.0592975 \\
BSU40830 & 0.0237 & 0.4819 & 0.0492 \\
BSU40840 & 0.0268 & 0.4302 & 0.0622 \\
BSU40850 & 0.03905 & 0.2918 & 0.175005 \\
BSU40860 & 0.0487 & 0.2632 & 0.18513 \\
BSU40870 & 0.0597 & 0.2796 & 0.21345 \\
BSU40880 & 0.0333 & 0.4421 & 0.07544 \\
BSU40890 & 0 & 0.0537 & 0 \\
BSU40900 & 0 & 0.0366 & 0 \\
BSU40910 & 0.0099 & 0.0134 & 0.74218 \\
BSU40920 & 0.0076 & 0.272 & 0.02809 \\
BSU40930 & 0.0245 & 0.38715 & 0.063115 \\
BSU40939 & 0.0061 & 0.1667 & 0.03652 \\
BSU40940 & 0.0195 & 0.2973 & 0.06574 \\
BSU40950 & 0.0201 & 0.4284 & 0.04699 \\
BSU40960 & 0.0114 & 0.2984 & 0.03807 \\
BSU40970 & 0 & 0.2648 & 0 \\
BSU40980 & 0.0541 & 0.32555 & 0.16628 \\
BSU40990 & 0.0048 & 0.1592 & 0.03042 \\
BSU41000 & 0.0153 & 0.3464 & 0.04407 \\
BSU41010 & 0.0022 & 0.2435 & 0.00895 \\
BSU41020 & 0.0056 & 0.30285 & 0.0195 \\
BSU41030 & 0.0303 & 0.2758 & 0.10998 \\
BSU41040 & 0.0071 & 0.1677 & 0.04264 \\
BSU41050 & 0.008 & 0.1561 & 0.05118 \\
BSU41060 & 0 & 0.0575 & 0 \\
BSUW23\_RS01260 & 0.1203 & 0.1997 & 0.60238 \\
BSUW23\_RS01285 & 0.05685 & 0.28265 & 0.200915 \\
BSUW23\_RS01425 & 0.0263 & 0.1681 & 0.15627 \\
BSUW23\_RS01450 & 0.0939 & 0.312 & 0.30106 \\
BSUW23\_RS01455 & 0.0048 & 0.2737 & 0.01766 \\
BSUW23\_RS01565 & 0.0404 & 0.4036 & 0.10018 \\
BSUW23\_RS01575 & 0.0111 & 0.3903 & 0.02832 \\
BSUW23\_RS01580 & 0 & 0.1505 & 0 \\
BSUW23\_RS01625 & 0.0463 & 0.2847 & 0.16262 \\
BSUW23\_RS01665 & 0.0884 & 0.3314 & 0.26669 \\
BSUW23\_RS01690 & 0.0487 & 0.4077 & 0.11935 \\
BSUW23\_RS01855 & 0.005 & 0.3493 & 0.01426 \\
BSUW23\_RS01935 & 0.1114 & 0.2807 & 0.39707 \\
BSUW23\_RS01970 & 0.0211 & 0.384 & 0.05487 \\
BSUW23\_RS02040 & 0.0422 & 0.3159 & 0.13369 \\
BSUW23\_RS02155 & 0.0749 & 0.7629 & 0.09817 \\
BSUW23\_RS02255 & 0.0163 & 0.3906 & 0.04179 \\
BSUW23\_RS02300 & 0.0285 & 0.262 & 0.1089 \\
BSUW23\_RS02355 & 0.0451 & 0.4028 & 0.11201 \\
BSUW23\_RS02390 & 0.0277 & 0.333 & 0.08306 \\
BSUW23\_RS02510 & 0.0314 & 0.4113 & 0.07626 \\
BSUW23\_RS02570 & 0 & 0.1521 & 0 \\
BSUW23\_RS02600 & 0.0093 & 0.1835 & 0.05075 \\
BSUW23\_RS02630 & 0.0256 & 0.2521 & 0.10151 \\
BSUW23\_RS02715 & 0.0116 & 0.1787 & 0.06469 \\
BSUW23\_RS02920 & 0.0433 & 0.4526 & 0.09566 \\
BSUW23\_RS02950 & 0.0833 & 0.5626 & 0.14813 \\
BSUW23\_RS02995 & 0.0532 & 0.3553 & 0.14978 \\
BSUW23\_RS03040 & 0.03745 & 0.4382 & 0.085665 \\
BSUW23\_RS03060 & 0.0449 & 0.4089 & 0.11098 \\
BSUW23\_RS03110 & 0.0226 & 0.3194 & 0.07068 \\
BSUW23\_RS03140 & 0.082 & 1.3326 & 0.06153 \\
BSUW23\_RS03185 & 0.0288 & 0.3434 & 0.08398 \\
BSUW23\_RS03235 & 0.0276 & 1.2984 & 0.02126 \\
BSUW23\_RS03260 & 0.0814 & 0.41105 & 0.198145 \\
BSUW23\_RS03265 & 0.0163 & 0.5054 & 0.03229 \\
BSUW23\_RS03270 & 0.0077 & 0.2098 & 0.0369 \\
BSUW23\_RS03280 & 0.0183 & 0.4654 & 0.03938 \\
BSUW23\_RS03300 & 0.03585 & 0.443 & 0.0827 \\
BSUW23\_RS03310 & 0.0483 & 0.4273 & 0.11298 \\
BSUW23\_RS05065 & 0.022 & 0.1348 & 0.1631 \\
BSUW23\_RS05080 & 0 & 0.0245 & 0 \\
BSUW23\_RS05210 & 0.0396 & 0.41515 & 0.09715 \\
BSUW23\_RS05235 & 0.0406 & 0.1597 & 0.25422 \\
BSUW23\_RS05250 & 0.0109 & 0.3452 & 0.0316 \\
BSUW23\_RS05265 & 0.0193 & 0.2754 & 0.07008 \\
BSUW23\_RS05310 & 0.047 & 0.1629 & 0.28834 \\
BSUW23\_RS05385 & 0.0355 & 0.3737 & 0.09487 \\
BSUW23\_RS05430 & 0.01035 & 0.07665 & 0.131905 \\
BSUW23\_RS05450 & 0.0413 & 0.2778 & 0.14875 \\
BSUW23\_RS05555 & 0.0094 & 0.314 & 0.02985 \\
BSUW23\_RS05655 & 0.0144 & 0.2906 & 0.04963 \\
BSUW23\_RS05675 & 0.0199 & 0.2906 & 0.06837 \\
BSUW23\_RS05715 & 0.0237 & 0.2847 & 0.08343 \\
BSUW23\_RS05815 & 0.0393 & 0.3139 & 0.12519 \\
BSUW23\_RS05835 & 0.0437 & 0.3702 & 0.11805 \\
BSUW23\_RS05860 & 0.0127 & 0.3231 & 0.0392 \\
BSUW23\_RS05920 & 0.0205 & 0.1914 & 0.10709 \\
BSUW23\_RS06010 & 0.0834 & 0.1848 & 0.45121 \\
BSUW23\_RS06020 & 0.0642 & 0.37145 & 0.186455 \\
BSUW23\_RS06065 & 0.068 & 0.408433333333333 & 0.154186666666667 \\
BSUW23\_RS06075 & 0.0222 & 0.3948 & 0.05627 \\
BSUW23\_RS06140 & 0.0193 & 0.4649 & 0.04143 \\
BSUW23\_RS06220 & 0.0655 & 0.2623 & 0.2497 \\
BSUW23\_RS06300 & 0.0382 & 1.4794 & 0.02581 \\
BSUW23\_RS06420 & 0.0043 & 0.3012 & 0.01413 \\
BSUW23\_RS06430 & 0.0485 & 0.3586 & 0.13519 \\
BSUW23\_RS06435 & 0.0376 & 0.2474 & 0.1519 \\
BSUW23\_RS06455 & 0.0281 & 0.3609 & 0.07797 \\
BSUW23\_RS06465 & 0.0327 & 0.390966666666667 & 0.07914 \\
BSUW23\_RS06535 & 0.0162 & 0.2772 & 0.05846 \\
BSUW23\_RS06545 & 0.0199 & 0.4057 & 0.04911 \\
BSUW23\_RS06635 & 0.033 & 0.7229 & 0.04569 \\
BSUW23\_RS06740 & 0.0662 & 0.4175 & 0.15863 \\
BSUW23\_RS06765 & 0.0687 & 0.2063 & 0.33282 \\
BSUW23\_RS06775 & 0 & 0.2026 & 0 \\
BSUW23\_RS06915 & 0.0333 & 0.4967 & 0.06698 \\
BSUW23\_RS06920 & 0.0111 & 0.4263 & 0.02593 \\
BSUW23\_RS06945 & 0.0348 & 0.2153 & 0.16185 \\
BSUW23\_RS06970 & 0.0731 & 3.4346 & 0.02127 \\
BSUW23\_RS07030 & 0.0879 & 0.2786 & 0.31546 \\
BSUW23\_RS07070 & 0.0172 & 0.2707 & 0.06361 \\
BSUW23\_RS07120 & 0.0392 & 0.5866 & 0.06681 \\
BSUW23\_RS07125 & 0.0084 & 0.2989 & 0.02804 \\
BSUW23\_RS07155 & 0.0172 & 0.3568 & 0.04822 \\
BSUW23\_RS07175 & 0.0346 & 0.3082 & 0.11215 \\
BSUW23\_RS07190 & 0.07085 & 0.32815 & 0.211265 \\
BSUW23\_RS07255 & 0.0331 & 0.3712 & 0.08929 \\
BSUW23\_RS07280 & 0.0233 & 0.5286 & 0.04408 \\
BSUW23\_RS07285 & 0.0121 & 0.3472 & 0.03471 \\
BSUW23\_RS07300 & 0.04755 & 0.6922 & 0.081715 \\
BSUW23\_RS07305 & 0.0149 & 0.4077 & 0.03649 \\
BSUW23\_RS07330 & 0.02 & 0.3269 & 0.06127 \\
BSUW23\_RS07375 & 0.0425 & 0.4329 & 0.09814 \\
BSUW23\_RS07410 & 0.0174 & 0.2757 & 0.06322 \\
BSUW23\_RS07415 & 0.015 & 0.4129 & 0.03627 \\
BSUW23\_RS07435 & 0.0109 & 0.3146 & 0.03476 \\
BSUW23\_RS07440 & 0.051 & 0.4306 & 0.11842 \\
BSUW23\_RS07450 & 0.03525 & 0.4639 & 0.077 \\
BSUW23\_RS07485 & 0.0064 & 0.2632 & 0.0244 \\
BSUW23\_RS07500 & 0.0074 & 0.2428 & 0.03041 \\
BSUW23\_RS07585 & 0.0077 & 0.0644 & 0.11921 \\
BSUW23\_RS07600 & 0.0235 & 0.3162 & 0.07419 \\
BSUW23\_RS07640 & 0.0083 & 0.2035 & 0.04082 \\
BSUW23\_RS07645 & 0.0051 & 0.1661 & 0.03073 \\
BSUW23\_RS07835 & 0.0533 & 0.3331 & 0.16011 \\
BSUW23\_RS07850 & 0.0259 & 0.5618 & 0.04617 \\
BSUW23\_RS07870 & 0.0138 & 0.3398 & 0.04067 \\
BSUW23\_RS07890 & 0.0368 & 0.2918 & 0.12598 \\
BSUW23\_RS07910 & 0.0072 & 0.1885 & 0.03839 \\
BSUW23\_RS07915 & 0.0919 & 0.5137 & 0.17897 \\
BSUW23\_RS07950 & 0.0665 & 0.2556 & 0.26003 \\
BSUW23\_RS08040 & 0.011 & 0.1526 & 0.07192 \\
BSUW23\_RS08085 & 0.0633 & 0.434 & 0.14582 \\
BSUW23\_RS08095 & 0.0369 & 0.4168 & 0.08843 \\
BSUW23\_RS08185 & 0.033 & 0.3451 & 0.09572 \\
BSUW23\_RS08260 & 0.0244 & 0.2866 & 0.08519 \\
BSUW23\_RS08330 & 0.016 & 0.321 & 0.04998 \\
BSUW23\_RS08505 & 0.0387 & 0.22875 & 0.183755 \\
BSUW23\_RS08550 & 0.0207 & 0.2788 & 0.07407 \\
BSUW23\_RS08715 & 0 & 0.0214 & 0 \\
BSUW23\_RS08835 & 0.0042 & 0.0292 & 0.14506 \\
BSUW23\_RS08910 & 0.0105 & 0.2843 & 0.03698 \\
BSUW23\_RS09035 & 0.0023 & 0.2061 & 0.01138 \\
BSUW23\_RS09055 & 0 & 0.0204 & 0 \\
BSUW23\_RS09085 & 0.0095 & 0.187 & 0.05107 \\
BSUW23\_RS09115 & 0.0130666666666667 & 0.328166666666667 & 0.0412166666666667 \\
BSUW23\_RS09380 & 0.0651 & 0.3475 & 0.18726 \\
BSUW23\_RS09410 & 0.0165 & 0.3904 & 0.04225 \\
BSUW23\_RS09415 & 0.03865 & 0.31605 & 0.124915 \\
BSUW23\_RS09465 & 0.0054 & 0.402 & 0.01351 \\
BSUW23\_RS09475 & 0.0429 & 0.3092 & 0.13877 \\
BSUW23\_RS09495 & 0.012 & 0.2987 & 0.04028 \\
BSUW23\_RS09505 & 0.01 & 0.2735 & 0.03653 \\
BSUW23\_RS09585 & 0.025 & 0.3192 & 0.07838 \\
BSUW23\_RS09590 & 0.0299 & 0.2207 & 0.1356 \\
BSUW23\_RS09600 & 0.0213 & 0.2305 & 0.09245 \\
BSUW23\_RS09635 & 0.0392 & 0.3651 & 0.10733 \\
BSUW23\_RS09645 & 0.0288 & 0.5873 & 0.04903 \\
BSUW23\_RS09670 & 0.03775 & 0.38665 & 0.103445 \\
BSUW23\_RS09705 & 0.0567333333333333 & 0.3131 & 0.279043333333333 \\
BSUW23\_RS09710 & 0.01015 & 0.295475 & 0.0325125 \\
BSUW23\_RS09715 & 0.0396666666666667 & 0.557566666666667 & 0.0819666666666667 \\
BSUW23\_RS10035 & 0.0183 & 0.2948 & 0.0621 \\
BSUW23\_RS14040 & 0.0608 & 0.6324 & 0.09609 \\
BSUW23\_RS14235 & 0.0293 & 0.4903 & 0.05968 \\
BSUW23\_RS14305 & 0.0368 & 0.4255 & 0.08656 \\
BSUW23\_RS14310 & 0.0399 & 0.3931 & 0.10152 \\
BSUW23\_RS14370 & 0.0169 & 0.3037 & 0.05562 \\
BSUW23\_RS14400 & 0.0028 & 0.2588 & 0.01101 \\
BSUW23\_RS14410 & 0.0062 & 0.2952 & 0.02087 \\
BSUW23\_RS14430 & 0.0032 & 0.0875 & 0.03695 \\
BSUW23\_RS14490 & 0.0132 & 0.4432 & 0.0297 \\
BSUW23\_RS14505 & 0 & 0.2085 & 0 \\
BSUW23\_RS14570 & 0.0524 & 0.4145 & 0.12654 \\
BSUW23\_RS14585 & 0.0258 & 0.4985 & 0.05181 \\
BSUW23\_RS14640 & 0.0086 & 0.2239 & 0.0383 \\
BSUW23\_RS14650 & 0.0191 & 0.3317 & 0.05745 \\
BSUW23\_RS14655 & 0.0366 & 0.393 & 0.0931 \\
BSUW23\_RS14670 & 0.0223 & 0.0956 & 0.23322 \\
BSUW23\_RS14700 & 0 & 0.2244 & 0 \\
BSUW23\_RS14730 & 0.0122 & 0.2254 & 0.05428 \\
BSUW23\_RS14750 & 0.0554 & 0.6342 & 0.08731 \\
BSUW23\_RS14765 & 0.0355 & 0.3415 & 0.10395 \\
BSUW23\_RS14890 & 0.014 & 0.3483 & 0.0403 \\
BSUW23\_RS14900 & 0.2004 & 0.6046 & 0.33143 \\
BSUW23\_RS14975 & 0.0195 & 0.2364 & 0.08242 \\
BSUW23\_RS15035 & 0.0124 & 0.3013 & 0.04105 \\
BSUW23\_RS15075 & 0.0183 & 0.3458 & 0.05278 \\
BSUW23\_RS15080 & 0.015 & 0.3165 & 0.04746 \\
BSUW23\_RS15090 & 0.0226 & 0.3236 & 0.06971 \\
BSUW23\_RS15160 & 0.031 & 0.3229 & 0.09593 \\
BSUW23\_RS15195 & 0 & 0.0432 & 0 \\
BSUW23\_RS15200 & 0.0655 & 0.6328 & 0.10344 \\
BSUW23\_RS15340 & 0 & 0.1999 & 0 \\
BSUW23\_RS15345 & 0 & 0.0441 & 0 \\
BSUW23\_RS15350 & 0.0056 & 0.2952 & 0.01891 \\
BSUW23\_RS15360 & 0.0121 & 0.2729 & 0.04433 \\
BSUW23\_RS15365 & 0.0141 & 0.2636 & 0.05362 \\
BSUW23\_RS15370 & 0.0407 & 0.2257 & 0.1805 \\
BSUW23\_RS15440 & 0.0265 & 0.2275 & 0.11649 \\
BSUW23\_RS15560 & 0.0093 & 0.1811 & 0.05118 \\
BSUW23\_RS15630 & 0.0369 & 0.4715 & 0.07837 \\
BSUW23\_RS15665 & 0.011 & 0.2943 & 0.03736 \\
BSUW23\_RS15710 & 0.0112 & 0.3368 & 0.03321 \\
BSUW23\_RS15775 & 0.0216 & 0.1755 & 0.1228 \\
BSUW23\_RS15840 & 0.0212 & 0.323 & 0.06568 \\
BSUW23\_RS15940 & 0.0181 & 0.3634 & 0.04976 \\
BSUW23\_RS15975 & 0.0386 & 0.2848 & 0.13567 \\
BSUW23\_RS15990 & 0.0201 & 0.3368 & 0.05971 \\
BSUW23\_RS16070 & 0.1156 & 0.6111 & 0.18924 \\
BSUW23\_RS16095 & 0.2892 & 1.8195 & 0.15894 \\
BSUW23\_RS16100 & 0.0065 & 0.4881 & 0.0133 \\
BSUW23\_RS16115 & 0.0176 & 0.2407 & 0.0733 \\
BSUW23\_RS16160 & 0.0204 & 0.2619 & 0.08319 \\
BSUW23\_RS16165 & 0.0286 & 0.2853 & 0.1004 \\
BSUW23\_RS16200 & 0.0332 & 0.348 & 0.09535 \\
BSUW23\_RS16210 & 0.0162 & 0.3096 & 0.05243 \\
BSUW23\_RS16265 & 0.0347 & 0.3084 & 0.11249 \\
BSUW23\_RS16285 & 0.0136 & 0.0748 & 0.18209 \\
BSUW23\_RS16330 & 0.0414 & 0.376 & 0.11014 \\
BSUW23\_RS16340 & 0.0358 & 0.4014 & 0.08927 \\
BSUW23\_RS16565 & 0.0484 & 0.2863 & 0.16905 \\
BSUW23\_RS16640 & 0.0701 & 0.1813 & 0.38695 \\
BSUW23\_RS16660 & 0.01345 & 0.37305 & 0.03535 \\
BSUW23\_RS16670 & 0.0212 & 0.3757 & 0.05647 \\
BSUW23\_RS16680 & 0.0064 & 0.075 & 0.08554 \\
BSUW23\_RS16685 & 0.0391 & 0.3958 & 0.09882 \\
BSUW23\_RS16720 & 0.0256 & 0.1912 & 0.13406 \\
BSUW23\_RS16790 & 0.0211 & 0.1608 & 0.13134 \\
BSUW23\_RS16795 & 0 & 0.1425 & 0 \\
BSUW23\_RS16815 & 0.0252333333333333 & 0.3368 & 0.07612 \\
BSUW23\_RS16850 & 0.0971 & 0.3452 & 0.28119 \\
BSUW23\_RS16950 & 0.0156 & 0.3395 & 0.04583 \\
BSUW23\_RS16960 & 0.0226 & 0.3686 & 0.0613 \\
BSUW23\_RS17040 & 0.0212 & 0.2726 & 0.07782 \\
BSUW23\_RS17185 & 0.0169 & 0.3769 & 0.04494 \\
BSUW23\_RS17195 & 0.0439 & 0.2612 & 0.1682 \\
BSUW23\_RS17220 & 0.15 & 0.7163 & 0.20942 \\
BSUW23\_RS17230 & 0.0791 & 0.6013 & 0.13149 \\
BSUW23\_RS17235 & 0.0929 & 0.3333 & 0.27873 \\
BSUW23\_RS17395 & 0.0151 & 0.3996 & 0.03773 \\
BSUW23\_RS17400 & 0.0181 & 0.3104 & 0.05821 \\
BSUW23\_RS17405 & 0.0169 & 0.3255 & 0.05185 \\
BSUW23\_RS17410 & 0.0342 & 0.4914 & 0.06969 \\
BSUW23\_RS17420 & 0.00955 & 0.14205 & 0.088605 \\
BSUW23\_RS17425 & 0.0266 & 0.2343 & 0.11347 \\
BSUW23\_RS17450 & 0.0319 & 0.281 & 0.11364 \\
BSUW23\_RS17525 & 0.0461 & 0.9384 & 0.04915 \\
BSUW23\_RS17690 & 0.01 & 0.3552 & 0.02812 \\
BSUW23\_RS17720 & 0.0183 & 0.3453 & 0.05303 \\
BSUW23\_RS17725 & 0.0455 & 0.2904 & 0.15669 \\
BSUW23\_RS17790 & 0 & 0.1815 & 0 \\
BSUW23\_RS17795 & 0.0071 & 0.2812 & 0.02523 \\
BSUW23\_RS17840 & 0.0132 & 0.3136 & 0.04206 \\
BSUW23\_RS17865 & 0.0312 & 0.4761 & 0.06549 \\
BSUW23\_RS17950 & 0.0275 & 0.29245 & 0.09516 \\
BSUW23\_RS18035 & 0.024 & 0.3034 & 0.07903 \\
BSUW23\_RS18065 & 0.0255 & 0.1238 & 0.20588 \\
BSUW23\_RS18075 & 0.0473 & 0.356 & 0.133 \\
BSUW23\_RS18080 & 0.0096 & 0.2372 & 0.04056 \\
BSUW23\_RS18105 & 0.0351 & 0.39955 & 0.087965 \\
BSUW23\_RS18130 & 0.0547 & 0.3913 & 0.13976 \\
BSUW23\_RS18155 & 0.0188 & 0.1927 & 0.122575 \\
BSUW23\_RS18185 & 0.0167 & 0.4559 & 0.03666 \\
BSUW23\_RS18195 & 0.0069 & 0.2474 & 0.02784 \\
BSUW23\_RS18310 & 0.0169 & 0.4054 & 0.0417 \\
BSUW23\_RS18340 & 0.0137 & 0.3611 & 0.03799 \\
BSUW23\_RS18390 & 0.0301 & 0.3013 & 0.09992 \\
BSUW23\_RS18400 & 0.0305 & 0.394 & 0.07731 \\
BSUW23\_RS18435 & 0.1005 & 0.2267 & 0.44349 \\
BSUW23\_RS18455 & 0.022 & 0.2486 & 0.08838 \\
BSUW23\_RS18490 & 0.0275 & 0.2834 & 0.09699 \\
BSUW23\_RS18580 & 0.0031 & 0.3271 & 0.01038 \\
BSUW23\_RS18655 & 0.0199 & 0.3918 & 0.05092 \\
BSUW23\_RS18705 & 0.0143 & 0.2787 & 0.05118 \\
BSUW23\_RS18765 & 0.0354 & 0.6669 & 0.0531 \\
BSUW23\_RS18810 & 0.7194 & 110.44 & 0.00651 \\
BSUW23\_RS18835 & 0.0566 & 3.1277 & 0.01809 \\
BSUW23\_RS18930 & 0.5178 & 41.1163 & 0.01259 \\
BSUW23\_RS18940 & 0.1013 & 0.5983 & 0.16924 \\
BSUW23\_RS19025 & 0.0408 & 0.2912 & 0.13997 \\
BSUW23\_RS19070 & 0.0375 & 0.3168 & 0.11838 \\
BSUW23\_RS19115 & 0.0288 & 0.5016 & 0.05736 \\
BSUW23\_RS19235 & 0.0123 & 0.4017 & 0.03059 \\
BSUW23\_RS19250 & 0.0339 & 0.1533 & 0.22113 \\
BSUW23\_RS19270 & 0.01 & 0.5446 & 0.01838 \\
BSUW23\_RS19340 & 0 & 0.2746 & 0 \\
BSUW23\_RS19350 & 0 & 0.1596 & 0 \\
BSUW23\_RS19385 & 0.0336 & 0.3548 & 0.09479 \\
BSUW23\_RS19430 & 0.019 & 0.3293 & 0.05754 \\
BSUW23\_RS19470 & 0.0106 & 0.1162 & 0.09159 \\
