gene\_name & dN & dS & omega \\
SCO0579 & 0.0021 & 0.0728 & 0.02862 \\
SCO0581 & 0 & 0.0516 & 0 \\
SCO0587 & 0 & 0 & 0 \\
SCO0592 & 0.0017 & 0.0183 & 0.09017 \\
SCO0594 & 0.0029 & 0 & NA \\
SCO0627 & 0.0011 & 0.0399 & 0.02641 \\
SCO0640 & 0.0027 & 0.038 & 0.07062 \\
SCO0641 & 0 & 0 & 0 \\
SCO0643 & 0.0033 & 0.0347 & 0.09412 \\
SCO0644 & 0.0097 & 0 & NA \\
SCO0652 & 0 & 0.0188 & 0 \\
SCO0660 & 0 & 0.0123 & 0 \\
SCO0661 & 0 & 0.0532 & 0 \\
SCO0662 & 0 & 0 & 0 \\
SCO0676 & 0.0004 & 0.0488 & 0.00862 \\
SCO0702 & 0 & 0 & 0 \\
SCO0765 & 0.0005 & 0.0176 & 0.02692 \\
SCO0772 & 0 & 0.0083 & 0 \\
SCO0789 & 0 & 0.0114 & 0 \\
SCO0790 & 0 & 0.0242 & 0 \\
SCO0798 & 0.0037 & 0.0261 & 0.14117 \\
SCO0802 & 0.0042 & 0.0901 & 0.04634 \\
SCO0811 & 0 & 0.0346 & 0 \\
SCO0812 & 0.0009 & 0.0165 & 0.05581 \\
SCO0813 & 0.0005 & 0.033 & 0.01619 \\
SCO0817 & 0 & 0 & 0 \\
SCO0824 & 0 & 0.0397 & 0 \\
SCO0826 & 0 & 0 & 0 \\
SCO0828 & 0 & 0.0602 & 0 \\
SCO0832 & 0.0012 & 0.0102 & 0.11615 \\
SCO0833 & 0.0036 & 0.0338 & 0.10732 \\
SCO0835 & 0 & 0.0429 & 0 \\
SCO0842 & 0.0039 & 0.0297 & 0.13297 \\
SCO0868 & 0.0028 & 0.0383 & 0.0719 \\
SCO0878 & 0.0027 & 0.0159 & 0.16925 \\
SCO0899 & 0.0028 & 0.0063 & 0.44707 \\
SCO0907 & 0.0025 & 0.0376 & 0.0663 \\
SCO0908 & 0 & 0.0137 & 0 \\
SCO0909 & 0 & 0.0213 & 0 \\
SCO0911 & 0.0008 & 0.1058 & 0.0079 \\
SCO0913 & 0.0012 & 0.0353 & 0.03379 \\
SCO0917 & 0.0035 & 0.0211 & 0.16406 \\
SCO0921 & 0 & 0.0384 & 0 \\
SCO0924 & 0 & 0 & 0 \\
SCO0928 & 0.001 & 0.0288 & 0.03624 \\
SCO0930 & 0.0011 & 0.0332 & 0.03396 \\
SCO0933 & 0 & 0 & 0 \\
SCO0936 & 0.0039 & 0.025 & 0.15552 \\
SCO0946 & 0.0021 & 0.2427 & 0.00869 \\
SCO0947 & 0 & 0.0275 & 0 \\
SCO0950 & 0.0024 & 0.0603 & 0.03925 \\
SCO0952 & 0 & 0 & 0 \\
SCO0957 & 0 & 0.0239 & 0 \\
SCO0962 & 0.001 & 0 & NA \\
SCO0968 & 0 & 0 & 0 \\
SCO0975 & 0.0008 & 0.0533 & 0.01428 \\
SCO1010 & 0.0042 & 0.0484 & 0.08618 \\
SCO1023 & 0.002 & 0.018 & 0.11244 \\
SCO1026 & 0 & 0.0562 & 0 \\
SCO1056 & 0.0009 & 0.013 & 0.06667 \\
SCO1057 & 0.0023 & 0.0571 & 0.04063 \\
SCO1058 & 0 & 0.0714 & 0 \\
SCO1061 & 0.0019 & 0.065 & 0.02888 \\
SCO1066 & 0 & 0.0159 & 0 \\
SCO1069 & 0 & 0.0316 & 0 \\
SCO1075 & 0.0011 & 0.0551 & 0.01966 \\
SCO1076 & 0 & 0 & 0 \\
SCO1079 & 0 & 0.0067 & 0 \\
SCO1080 & 0.0016 & 0 & NA \\
SCO1081 & 0 & 0.0763 & 0 \\
SCO1092 & 0 & 0.0291 & 0 \\
SCO1112 & 0.0019 & 0.0509 & 0.03744 \\
SCO1129 & 0.0048 & 0.0247 & 0.19475 \\
SCO1135 & 0 & 0.085 & 0 \\
SCO1141 & 0 & 0.0913 & 0 \\
SCO1146 & 0.0015 & 0.0221 & 0.06836 \\
SCO1154 & 0.0066 & 0.0569 & 0.11597 \\
SCO1162 & 0.0022 & 0.0295 & 0.07412 \\
SCO1165 & 0.0013 & 0.0123 & 0.10881 \\
SCO1167 & 0.0023 & 0.0111 & 0.20952 \\
SCO1174 & 0.0014 & 0.0568 & 0.02525 \\
SCO1178 & 0.0032 & 0.0486 & 0.06509 \\
SCO1183 & 0 & 0.009 & 0 \\
SCO1184 & 0.00745 & 0.01505 & 0.516965 \\
SCO1197 & 0.0011 & 0.0163 & 0.06905 \\
SCO1199 & 0 & 0.0274 & 0 \\
SCO1200 & 0.0022 & 0.0097 & 0.22224 \\
SCO1204 & 0.0016 & 0.0092 & 0.17199 \\
SCO1215 & 0 & 0 & 0 \\
SCO1216 & 0 & 0 & 0 \\
SCO1233 & 0.0054 & 0.0363 & 0.15002 \\
SCO1239 & 0 & 0 & 0 \\
SCO1248 & 0.003 & 0.0872 & 0.03457 \\
SCO1251 & 0.0016 & 0.0459 & 0.03465 \\
SCO1256 & 0.0025 & 0.048 & 0.05294 \\
SCO1261 & 0 & 0.0042 & 0 \\
SCO1280 & 0.0018 & 0.0134 & 0.1375 \\
SCO1301 & 0 & 0.0245 & 0 \\
SCO1303 & 0.00525 & 0.01485 & 0.33945 \\
SCO1304 & 0.0028 & 0.0218 & 0.12936 \\
SCO1305 & 0.0019 & 0.0178 & 0.10679 \\
SCO1311 & 0.0041 & 0 & NA \\
SCO1321 & 0 & 0.0825 & 0 \\
SCO1324 & 0.0019 & 0.023 & 0.08055 \\
SCO1325 & 0.0023 & 0.1092 & 0.02136 \\
SCO1327 & 0.0036 & 0.0035 & 1.03584 \\
SCO1362 & 0.0033 & 0.0412 & 0.07985 \\
SCO1372 & 0.0014 & 0.0554 & 0.02456 \\
SCO1381 & 0 & 0.0777 & 0 \\
SCO1384 & 0 & 0.0171 & 0 \\
SCO1387 & 0 & 0.0277 & 0 \\
SCO1394 & 0.004 & 0.0104 & 0.3862 \\
SCO1404 & 0.0033 & 0.0233 & 0.13987 \\
SCO1413 & 0 & 0.024 & 0 \\
SCO1419 & 0 & 0 & 0 \\
SCO1428 & 0.0041 & 0.0064 & 0.6487 \\
SCO1429 & 0.0009 & 0.0121 & 0.07172 \\
SCO1433 & 0.0027 & 0.0338 & 0.08067 \\
SCO1434 & 0.0012 & 0.0448 & 0.02725 \\
SCO1438 & 0 & 0.0193 & 0 \\
SCO1453 & 0 & 0.0059 & 0 \\
SCO1459 & 0.0007 & 0.0377 & 0.01904 \\
SCO1468 & 0.0024 & 0.0203 & 0.11998 \\
SCO1491 & 0 & 0.0174 & 0 \\
SCO1493 & 0.003 & 0 & NA \\
SCO1494 & 0.001 & 0.0097 & 0.10535 \\
SCO1525 & 0.0009 & 0 & NA \\
SCO1529 & 0.0013 & 0.033 & 0.04034 \\
SCO1539 & 0.0009 & 0.0305 & 0.02866 \\
SCO1541 & 0 & 0 & 0 \\
SCO1542 & 0 & 0.0288 & 0 \\
SCO1543 & 0 & 0.0379 & 0 \\
SCO1550 & 0 & 0 & 0 \\
SCO1556 & 0.0017 & 0.0242 & 0.07025 \\
SCO1570 & 0.0008 & 0.0503 & 0.0151 \\
SCO1581 & 0.0022 & 0.0226 & 0.0961 \\
SCO1582 & 0.0021 & 0.05 & 0.04269 \\
SCO1583 & 0.0004 & 0.0247 & 0.01769 \\
SCO1584 & 0.0027 & 0 & NA \\
SCO1585 & 0.0022 & 0 & NA \\
SCO1586 & 0.0025 & 0.0264 & 0.09616 \\
SCO1598 & 0 & 0 & 0 \\
SCO1599 & 0 & 0 & 0 \\
SCO1600 & 0 & 0 & 0 \\
SCO1601 & 0 & 0.0338 & 0 \\
SCO1609 & 0.0034 & 0.0229 & 0.14933 \\
SCO1610 & 0.0023 & 0.0124 & 0.18259 \\
SCO1611 & 0 & 0.0784 & 0 \\
SCO1620 & 0.0013 & 0.0593 & 0.02151 \\
SCO1621 & 0 & 0.0134 & 0 \\
SCO1625 & 0 & 0.0592 & 0 \\
SCO1626 & 0 & 0.0248 & 0 \\
SCO1628 & 0 & 0 & 0 \\
SCO1629 & 0 & 0 & 0 \\
SCO1637 & 0 & 0.0184 & 0 \\
SCO1638 & 0 & 0 & 0 \\
SCO1654 & 0 & 0.0291 & 0 \\
SCO1676 & 0 & 0 & 0 \\
SCO1677 & 0.0058 & 0.1434 & 0.04029 \\
SCO1678 & 0.0016 & 0.0554 & 0.02842 \\
SCO1679 & 0 & 0 & 0 \\
SCO1681 & 0.0029 & 0 & NA \\
SCO1694 & 0.0012 & 0.0459 & 0.02583 \\
SCO1717 & 0.0011 & 0 & NA \\
SCO1724 & 0.0043 & 0.0157 & 0.27428 \\
SCO1725 & 0 & 0.0622 & 0 \\
SCO1744 & 0.003 & 0.014 & 0.21337 \\
SCO1745 & 0 & 0 & 0 \\
SCO1746 & 0 & 0.0088 & 0 \\
SCO1751 & 0.0007 & 0.0187 & 0.03872 \\
SCO1757 & 0 & 0 & 0 \\
SCO1759 & 0 & 0 & 0 \\
SCO1775 & 0 & 0.0339 & 0 \\
SCO1783 & 0 & 0 & 0 \\
SCO1805 & 0 & 0 & 0 \\
SCO1807 & 0.0019 & 0.0346 & 0.05604 \\
SCO1825 & 0.0041 & 0 & NA \\
SCO1866 & 0 & 0.0243 & 0 \\
SCO1873 & 0 & 0.038 & 0 \\
SCO1882 & 0 & 0.0202 & 0 \\
SCO1890 & 0 & 0.0181 & 0 \\
SCO1895 & 0 & 0.0135 & 0 \\
SCO1908 & 0 & 0 & 0 \\
SCO1915 & 0.0079 & 0.0752 & 0.10454 \\
SCO1921 & 0 & 0.0185 & 0 \\
SCO1941 & 0.0163 & 0.0165 & 1.017825 \\
SCO1942 & 0.00163333333333333 & 0.105766666666667 & 0.0303866666666667 \\
SCO1943 & 0 & 0.0333 & 0 \\
SCO1944 & 0 & 0.0787 & 0 \\
SCO1950 & 0 & 0.0204 & 0 \\
SCO1955 & 0 & 0.011 & 0 \\
SCO1973 & 0 & 0 & 0 \\
SCO1977 & 0.0015 & 0.0149 & 0.09949 \\
SCO1980 & 0 & 0 & 0 \\
SCO1981 & 0 & 0.0159 & 0 \\
SCO1982 & 0 & 0 & 0 \\
SCO1983 & 0 & 0.0287 & 0 \\
SCO1993 & 0.0051 & 0.0353 & 0.14387 \\
SCO1999 & 0 & 0 & 0 \\
SCO2001 & 0.0006 & 0 & NA \\
SCO2008 & 0 & 0.0189 & 0 \\
SCO2016 & 0 & 0.0602 & 0 \\
SCO2027 & 0 & 0 & 0 \\
SCO2035 & 0 & 0 & 0 \\
SCO2040 & 0.0025 & 0 & NA \\
SCO2043 & 0.0014 & 0.067 & 0.02099 \\
SCO2064 & 0 & 0.0028 & 0 \\
SCO2065 & 0 & 0 & 0 \\
SCO2066 & 0.0421 & 0.12715 & 0.236155 \\
SCO2078 & 0 & 0 & 0 \\
SCO2087 & 0 & 0.0057 & 0 \\
SCO2093 & 0 & 0.0133 & 0 \\
SCO2094 & 0 & 0.0343 & 0 \\
SCO2102 & 0 & 0.2167 & 0 \\
SCO2104 & 0 & 0.0557 & 0 \\
SCO2105 & 0 & 0.024 & 0 \\
SCO2111 & 0 & 0 & 0 \\
SCO2114 & 0 & 0 & 0 \\
SCO2137 & 0.0008 & 0.0117 & 0.06859 \\
SCO2143 & 0 & 0.0086 & 0 \\
SCO2158 & 0 & 0 & 0 \\
SCO2159 & 0 & 0.0443 & 0 \\
SCO2161 & 0 & 0.0271 & 0 \\
SCO2164 & 0 & 0.0119 & 0 \\
SCO2166 & 0 & 0 & 0 \\
SCO2182 & 0 & 0 & 0 \\
SCO2183 & 0 & 0.0414 & 0 \\
SCO2188 & 0.0012 & 0 & NA \\
SCO2189 & 0 & 0.0268 & 0 \\
SCO2190 & 0.00515 & 0.0565 & 0.075025 \\
SCO2200 & 0 & 0.0349 & 0 \\
SCO2202 & 0 & 0.0622 & 0 \\
SCO2222 & 0.002 & 0.0369 & 0.05407 \\
SCO2223 & 0 & 0.0149 & 0 \\
SCO2229 & 0 & 0 & 0 \\
SCO2230 & 0 & 0.0084 & 0 \\
SCO2240 & 0.0033 & 0 & NA \\
SCO2256 & 0 & 0.1032 & 0 \\
SCO2268 & 0.0019 & 0.0435 & 0.04259 \\
SCO2276 & 0.0009 & 0.0123 & 0.07013 \\
SCO2296 & 0.002 & 0.011 & 0.1779 \\
SCO2297 & 0 & 0.0546 & 0 \\
SCO2302 & 0 & 0.0091 & 0 \\
SCO2303 & 0 & 0 & 0 \\
SCO2304 & 0.0013 & 0.0781 & 0.01618 \\
SCO2306 & 0.0016 & 0.0402 & 0.04017 \\
SCO2307 & 0.003 & 0.0088 & 0.34156 \\
SCO2308 & 0.0019 & 0.0327 & 0.05749 \\
SCO2312 & 0 & 0.0198 & 0 \\
SCO2320 & 0 & 0.0075 & 0 \\
SCO2329 & 0.0057 & 0.0655 & 0.08723 \\
SCO2339 & 0 & 0.0147 & 0 \\
SCO2347 & 0.0019 & 0.053 & 0.03628 \\
SCO2348 & 0 & 0 & 0 \\
SCO2355 & 0 & 0 & 0 \\
SCO2357 & 0 & 0.0184 & 0 \\
SCO2358 & 0 & 0.0159 & 0 \\
SCO2359 & 0 & 0 & 0 \\
SCO2372 & 0 & 0 & 0 \\
SCO2373 & 0 & 0.0201 & 0 \\
SCO2378 & 0 & 0.0359 & 0 \\
SCO2385 & 0.0041 & 0.2194 & 0.01891 \\
SCO2387 & 0.0037 & 0.046 & 0.08091 \\
SCO2391 & 0 & 0.0445 & 0 \\
SCO2393 & 0.0035 & 0.0294 & 0.11849 \\
SCO2394 & 0.0009 & 0.0438 & 0.0197 \\
SCO2395 & 0.0015 & 0.0099 & 0.14723 \\
SCO2400 & 0.0302 & 0.0303 & 0.9955 \\
SCO2417 & 0.0031 & 0.0692 & 0.04432 \\
SCO2419 & 0 & 0.0248 & 0 \\
SCO2423 & 0.011 & 0.0702 & 0.15676 \\
SCO2425 & 0.0011 & 0.0427 & 0.02579 \\
SCO2428 & 0.0014 & 0.0325 & 0.04209 \\
SCO2441 & 0 & 0.0232 & 0 \\
SCO2458 & 0 & 0 & 0 \\
SCO2461 & 0 & 0 & 0 \\
SCO2462 & 0 & 0.0239 & 0 \\
SCO2463 & 0 & 0.0385 & 0 \\
SCO2465 & 0 & 0.0164 & 0 \\
SCO2469 & 0 & 0.0479 & 0 \\
SCO2470 & 0.0027 & 0.0139 & 0.19793 \\
SCO2485 & 0.0027 & 0.0355 & 0.07691 \\
SCO2487 & 0.0012 & 0.0136 & 0.09011 \\
SCO2488 & 0.0027 & 0 & NA \\
SCO2493 & 0.001 & 0.0295 & 0.03318 \\
SCO2495 & 0.0026 & 0.0099 & 0.25967 \\
SCO2502 & 0.0008 & 0.0586 & 0.01413 \\
SCO2504 & 0 & 0.043 & 0 \\
SCO2512 & 0 & 0 & 0 \\
SCO2513 & 0.0016 & 0.0316 & 0.04933 \\
SCO2514 & 0 & 0.0376 & 0 \\
SCO2540 & 0 & 0.0482 & 0 \\
SCO2542 & 0.0008 & 0.0474 & 0.01769 \\
SCO2556 & 0.0016 & 0.0093 & 0.17082 \\
SCO2565 & 0 & 0 & 0 \\
SCO2578 & 0 & 0.0555 & 0 \\
SCO2580 & 0 & 0 & 0 \\
SCO2599 & 0.0159 & 0 & NA \\
SCO2600 & 0 & 0 & 0 \\
SCO2601 & 0.0117 & 0.1098 & 0.10627 \\
SCO2611 & 0 & 0.0131 & 0 \\
SCO2621 & 0 & 0 & 0 \\
SCO2622 & 0.002 & 0.0192 & 0.1049 \\
SCO2623 & 0.007 & 0.0715 & 0.09851 \\
SCO2624 & 0 & 0.0374 & 0 \\
SCO2626 & 0.0013 & 0.0422 & 0.03007 \\
SCO2627 & 0 & 0.0362 & 0 \\
SCO2634 & 0 & 0.0871 & 0 \\
SCO2680 & 0 & 0.0643 & 0 \\
SCO2696 & 0.0023 & 0.0359 & 0.06416 \\
SCO2707 & 0.0043 & 0.0115 & 0.37138 \\
SCO2718 & 0 & 0 & 0 \\
SCO2727 & 0 & 0.0097 & 0 \\
SCO2728 & 0 & 0 & 0 \\
SCO2729 & 0.0057 & 0.0308 & 0.1832 \\
SCO2730 & 0 & 0.1365 & 0 \\
SCO2735 & 0.0024 & 0.0159 & 0.14982 \\
SCO2737 & 0.0005 & 0.0371 & 0.01367 \\
SCO2738 & 0 & 0 & 0 \\
SCO2739 & 0 & 0 & 0 \\
SCO2754 & 0 & 0 & 0 \\
SCO2760 & 0.0049 & 0.0327 & 0.15061 \\
SCO2761 & 0.0007 & 0.0327 & 0.02223 \\
SCO2762 & 0 & 0.0969 & 0 \\
SCO2773 & 0.0075 & 0.2874 & 0.02617 \\
SCO2785 & 0.0042 & 0.0512 & 0.08126 \\
SCO2786 & 0.0021 & 0.0364 & 0.05667 \\
SCO2794 & 0 & 0.0113 & 0 \\
SCO2796 & 0.0011 & 0.0116 & 0.09516 \\
SCO2802 & 0.002 & 0.0303 & 0.06549 \\
SCO2805 & 0.0008 & 0.0398 & 0.02018 \\
SCO2810 & 0.0008 & 0.0073 & 0.11394 \\
SCO2816 & 0.001 & 0.018 & 0.05803 \\
SCO2836 & 0.0012 & 0.0099 & 0.11624 \\
SCO2838 & 0.0043 & 0.1615 & 0.02664 \\
SCO2860 & 0.0056 & 0.0437 & 0.12735 \\
SCO2872 & 0 & 0.004 & 0 \\
SCO2883 & 0 & 0.0168 & 0 \\
SCO2884 & 0 & 0.0182 & 0 \\
SCO2885 & 0.0023 & 0.0298 & 0.07695 \\
SCO2886 & 0.0051 & 0.0555 & 0.09242 \\
SCO2887 & 0 & 0 & 0 \\
SCO2888 & 0 & 0.022 & 0 \\
SCO2889 & 0.0015 & 0.06 & 0.02483 \\
SCO2898 & 0 & 0.0691 & 0 \\
SCO2904 & 0 & 0 & 0 \\
SCO2907 & 0 & 0.0097 & 0 \\
SCO2914 & 0 & 0.0259 & 0 \\
SCO2915 & 0 & 0.0843 & 0 \\
SCO2916 & 0 & 0 & 0 \\
SCO2917 & 0.0008 & 0 & NA \\
SCO2920 & 0.0009 & 0.0619 & 0.01443 \\
SCO2928 & 0 & 0.0097 & 0 \\
SCO2940 & 0.0005 & 0.0737 & 0.00626 \\
SCO2941 & 0.0034 & 0.0288 & 0.11667 \\
SCO2944 & 0.0014 & 0.0151 & 0.09432 \\
SCO2946 & 0 & 0.084 & 0 \\
SCO2947 & 0 & 0 & 0 \\
SCO2952 & 0 & 0.039 & 0 \\
SCO2960 & 0.0035 & 0.0328 & 0.10731 \\
SCO2984 & 0.0034 & 0.026 & 0.13111 \\
SCO2988 & 0 & 0.0264 & 0 \\
SCO2989 & 0 & 0 & 0 \\
SCO2993 & 0 & 0.0568 & 0 \\
SCO2995 & 0 & 0.0172 & 0 \\
SCO3005 & 0 & 0.0504 & 0 \\
SCO3006 & 0.0019 & 0.0382 & 0.04875 \\
SCO3008 & 0 & 0.0096 & 0 \\
SCO3021 & 0 & 0.0233 & 0 \\
SCO3022 & 0 & 0.0322 & 0 \\
SCO3024 & 0.0012 & 0.0439 & 0.02748 \\
SCO3038 & 0.0012 & 0.0077 & 0.15438 \\
SCO3061 & 0 & 0.0903 & 0 \\
SCO3067 & 0 & 0 & 0 \\
SCO3078 & 0 & 0 & 0 \\
SCO3081 & 0 & 0.0335 & 0 \\
SCO3090 & 0 & 0.0263 & 0 \\
SCO3098 & 0.0028 & 0 & NA \\
SCO3101 & 0 & 0 & 0 \\
SCO3106 & 0.0036 & 0 & NA \\
SCO3108 & 0 & 0 & 0 \\
SCO3123 & 0 & 0 & 0 \\
SCO3127 & 0 & 0.0563 & 0 \\
SCO3128 & 0 & 0.0518 & 0 \\
SCO3130 & 0 & 0.0139 & 0 \\
SCO3138 & 0 & 0.0145 & 0 \\
SCO3139 & 0 & 0.0579 & 0 \\
SCO3140 & 0 & 0 & 0 \\
SCO3144 & 0 & 0.0374 & 0 \\
SCO3145 & 0.0014 & 0.0441 & 0.03174 \\
SCO3146 & 0 & 0.0253 & 0 \\
SCO3155 & 0 & 0 & 0 \\
SCO3160 & 0 & 0 & 0 \\
SCO3175 & 0.0024 & 0.0183 & 0.12912 \\
SCO3184 & 0.0032 & 0.1589 & 0.01984 \\
SCO3188 & 0 & 0.0616 & 0 \\
SCO3189 & 0.0024 & 0.0388 & 0.06297 \\
SCO3190 & 0 & 0.0924 & 0 \\
SCO3191 & 0 & 0 & 0 \\
SCO3196 & 0.0021 & 0.0383 & 0.05556 \\
SCO3197 & 0.0012 & 0.0293 & 0.04085 \\
SCO3198 & 0 & 0.0265 & 0 \\
SCO3199 & 0 & 0.0622 & 0 \\
SCO3207 & 0 & 0 & 0 \\
SCO3210 & 0.0031 & 0.0492 & 0.0631 \\
SCO3213 & 0 & 0 & 0 \\
SCO3214 & 0.0015 & 0.0264 & 0.05768 \\
SCO3215 & 0 & 0.0778 & 0 \\
SCO3217 & 0.0007 & 0.0167 & 0.03923 \\
SCO3218 & 0 & 0 & 0 \\
SCO3224 & 0 & 0.0349 & 0 \\
SCO3232 & 0 & 0.0199 & 0 \\
SCO3233 & 0 & 0.0075 & 0 \\
SCO3245 & 0 & 0.0544 & 0 \\
SCO3246 & 0 & 0.0796 & 0 \\
SCO3249 & 0 & 0 & 0 \\
SCO3273 & 0 & 0 & 0 \\
SCO3274 & 0.0027 & 0 & NA \\
SCO3275 & 0.0075 & 0 & NA \\
SCO3284 & 0.0022 & 0.0112 & 0.19733 \\
SCO3296 & 0 & 0.0265 & 0 \\
SCO3299 & 0.0028 & 0.0272 & 0.10324 \\
SCO3303 & 0 & 0.0461 & 0 \\
SCO3310 & 0 & 0.0811 & 0 \\
SCO3311 & 0.0012 & 0 & NA \\
SCO3321 & 0 & 0.0153 & 0 \\
SCO3340 & 0.0014 & 0.048 & 0.02927 \\
SCO3342 & 0.005 & 0.0283 & 0.17696 \\
SCO3347 & 0 & 0.048 & 0 \\
SCO3349 & 0 & 0 & 0 \\
SCO3357 & 0 & 0.0101 & 0 \\
SCO3366 & 0 & 0.0517 & 0 \\
SCO3372 & 0.0016 & 0.0291 & 0.05383 \\
SCO3373 & 0 & 0.0278 & 0 \\
SCO3374 & 0.0047 & 0 & NA \\
SCO3375 & 0 & 0.0205 & 0 \\
SCO3385 & 0.0022 & 0.0111 & 0.20191 \\
SCO3386 & 0 & 0 & 0 \\
SCO3387 & 0.001 & 0 & NA \\
SCO3388 & 0 & 0 & 0 \\
SCO3389 & 0 & 0 & 0 \\
SCO3390 & 0 & 0.0158 & 0 \\
SCO3391 & 0.0011 & 0.0169 & 0.06378 \\
SCO3392 & 0 & 0.0142 & 0 \\
SCO3393 & 0 & 0 & 0 \\
SCO3394 & 0.0013 & 0.0052 & 0.127885 \\
SCO3395 & 0.0031 & 0.0111 & 0.27415 \\
SCO3396 & 0 & 0 & 0 \\
SCO3404 & 0 & 0.064 & 0 \\
SCO3405 & 0 & 0 & 0 \\
SCO3406 & 0 & 0.032 & 0 \\
SCO3407 & 0 & 0.026 & 0 \\
SCO3408 & 0.0016 & 0.0181 & 0.09118 \\
SCO3409 & 0 & 0 & 0 \\
SCO3410 & 0 & 0.0402 & 0 \\
SCO3411 & 0.0012 & 0.0682 & 0.01733 \\
SCO3412 & 0 & 0 & 0 \\
SCO3413 & 0 & 0.0229 & 0 \\
SCO3414 & 0 & 0.0423 & 0 \\
SCO3418 & 0.0024 & 0.0112 & 0.21275 \\
SCO3428 & 0 & 0 & 0 \\
SCO3509 & 0.0224 & 0.2394 & 0.09365 \\
SCO3510 & 0.006 & 0.3716 & 0.01606 \\
SCO3516 & 0.0159 & 0.2129 & 0.07482 \\
SCO3517 & 0.0057 & 0.2087 & 0.0274 \\
SCO3528 & 0.0339 & 0.2008 & 0.16862 \\
SCO3530 & 0.02 & 0.2662 & 0.07525 \\
SCO3531 & 0.0408 & 0.3195 & 0.12774 \\
SCO3532 & 0.0482 & 0.3061 & 0.15757 \\
SCO3542 & 0.0137 & 0.0491 & 0.2786 \\
SCO3547 & 0.0009 & 0.0288 & 0.03228 \\
SCO3556 & 0.0019 & 0.0133 & 0.14144 \\
SCO3569 & 0.0014 & 0.0409 & 0.0339 \\
SCO3574 & 0 & 0.0161 & 0 \\
SCO3590 & 0 & 0.0735 & 0 \\
SCO3597 & 0 & 0 & 0 \\
SCO3599 & 0.0036 & 0.0807 & 0.04413 \\
SCO3605 & 0 & 0 & 0 \\
SCO3606 & 0 & 0.0286 & 0 \\
SCO3611 & 0.0013 & 0.0525 & 0.0249 \\
SCO3629 & 0 & 0.0386 & 0 \\
SCO3631 & 0.0026 & 0 & NA \\
SCO3632 & 0 & 0 & 0 \\
